Titulo,Documentary,Sci-Fi,Mystery,Horror,Romance,Thriller,Crime,Fantasy,Comedy,Animation,Children,Drama,Adventure,Duracao,Investimento,Gostou
Crimes and Misdemeanors (1989),0,0,0,0,0,0,1,0,1,0,0,1,0,106.3081748,13.96091258,1
Who Framed Roger Rabbit? (1988),0,0,1,0,0,0,1,1,1,1,1,0,1,94.31296107,6.411933175,0
Thunderball (1965),0,0,0,0,0,0,0,0,0,0,0,0,1,101.4430252,7.127002847,1
Being John Malkovich (1999),0,0,0,0,0,0,0,1,1,0,0,1,0,133.014473,13.49858219,1
"Insider, The (1999)",0,0,0,0,0,0,0,0,0,0,0,1,0,100.8105093,9.450239036,1
American Movie (1999),1,0,0,0,0,0,0,0,0,0,0,0,0,66.37185484,3.455018024,1
"They Shoot Horses, Don't They? (1969)",0,0,0,0,0,0,0,0,0,0,0,1,0,98.5646612,13.33089401,1
Re-Animator (1985),0,1,0,1,0,0,0,0,1,0,0,0,0,89.0846591,46.84892311,1
Drugstore Cowboy (1989),0,0,0,0,0,0,1,0,0,0,0,1,0,139.3030911,5.619323354,1
"General, The (1926)",0,0,0,0,0,0,0,0,1,0,0,0,0,81.87352274,3.474456452,1
Little Big Man (1970),0,0,0,0,0,0,0,0,0,0,0,0,0,95.76152319,32.31798526,1
Trading Places (1983),0,0,0,0,0,0,0,0,1,0,0,0,0,117.6592338,24.51665066,0
"Commitments, The (1991)",0,0,0,0,0,0,0,0,1,0,0,1,0,107.4555041,16.83610388,0
Holiday Inn (1942),0,0,0,0,0,0,0,0,1,0,0,0,0,87.06188707,12.84146877,1
"Longest Day, The (1962)",0,0,0,0,0,0,0,0,0,0,0,1,0,134.05215,12.58978995,1
Tora! Tora! Tora! (1970),0,0,0,0,0,0,0,0,0,0,0,1,0,125.3461748,15.59051041,1
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988),0,0,0,0,0,0,0,0,1,0,0,1,0,112.485598,9.279365357,1
"Verdict, The (1982)",0,0,1,0,0,0,0,0,0,0,0,1,0,96.71978384,3.868610226,1
Stand and Deliver (1988),0,0,0,0,0,0,0,0,1,0,0,1,0,98.71685553,24.63626169,0
Moonstruck (1987),0,0,0,0,1,0,0,0,1,0,0,0,0,99.92704831,43.99361628,1
Sleepy Hollow (1999),0,0,1,1,1,0,0,1,0,0,0,0,0,109.8036368,3.733444307,1
Harvey (1950),0,0,0,0,0,0,0,1,1,0,0,0,0,88.07068288,33.04566356,1
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),0,0,0,0,0,0,0,0,0,0,0,1,0,129.3618533,17.24310388,1
McCabe & Mrs. Miller (1971),0,0,0,0,0,0,0,0,0,0,0,1,0,51.01601734,44.35146089,1
"Grapes of Wrath, The (1940)",0,0,0,0,0,0,0,0,0,0,0,1,0,79.66251797,8.753055189,1
"Natural, The (1984)",0,0,0,0,0,0,0,0,0,0,0,1,0,85.25178593,6.047822089,1
Sweet and Lowdown (1999),0,0,0,0,0,0,0,0,1,0,0,1,0,97.60698658,19.89346581,1
Bonfire of the Vanities (1990),0,0,0,0,0,0,1,0,1,0,0,1,0,122.1539961,4.405220875,0
Grand Illusion (La grande illusion) (1937),0,0,0,0,0,0,0,0,0,0,0,1,0,131.9137678,4.780864423,1
Cradle Will Rock (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,103.4059569,4.291631156,1
"Green Mile, The (1999)",0,0,0,0,0,0,1,0,0,0,0,1,0,111.9325564,25.6669573,0
"Last Picture Show, The (1971)",0,0,0,0,0,0,0,0,0,0,0,1,0,104.3538854,7.008333108,1
Topsy-Turvy (1999),0,0,0,0,0,0,0,0,1,0,0,1,0,155.3682861,10.43180559,1
Easy Rider (1969),0,0,0,0,0,0,0,0,0,0,0,1,1,127.2052766,4.980134559,1
The Falcon and the Snowman (1985),0,0,0,0,0,0,1,0,0,0,0,1,0,112.1734127,11.75417284,0
"Talented Mr. Ripley, The (1999)",0,0,1,0,0,0,0,0,0,0,0,1,0,98.37686627,7.411566116,0
Angela's Ashes (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,90.80352059,31.02523423,0
Stalag 17 (1953),0,0,0,0,0,0,0,0,0,0,0,1,0,83.83596703,3.89046474,1
Papillon (1973),0,0,0,0,0,0,1,0,0,0,0,1,0,72.74986897,5.437068587,1
Five Easy Pieces (1970),0,0,0,0,0,0,0,0,0,0,0,1,0,122.394296,40.44995131,1
Dead Calm (1989),0,0,0,0,0,0,0,0,0,0,0,0,0,127.6923716,12.44154125,1
Fast Times at Ridgemont High (1982),0,0,0,0,1,0,0,0,1,0,0,1,0,89.16973709,3.65304746,1
Poison (1991),0,0,0,0,0,0,0,0,0,0,0,1,0,93.60345539,9.662055981,1
"Zed & Two Noughts, A (1985)",0,0,0,0,0,0,0,0,0,0,0,1,0,85.68882898,4.769004666,1
Woman in the Dunes (Suna no onna) (1964),0,0,0,0,0,0,0,0,0,0,0,1,0,115.6295704,16.61309382,1
Malcolm X (1992),0,0,0,0,0,0,0,0,0,0,0,1,0,72.18458839,47.19650001,1
Alive (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,127.8085326,7.091165427,1
Agnes of God (1985),0,0,1,0,0,0,0,0,0,0,0,1,0,112.7593379,8.249325017,0
Wayne's World (1992),0,0,0,0,0,0,0,0,1,0,0,0,0,116.1293134,33.50903241,0
"League of Their Own, A (1992)",0,0,0,0,0,0,0,0,1,0,0,1,0,133.3339693,5.099196584,1
Twin Peaks: Fire Walk with Me (1992),0,0,1,0,0,0,1,0,0,0,0,1,0,123.3020617,6.935058127,0
Buffy the Vampire Slayer (1992),0,0,0,1,0,0,0,0,1,0,0,0,0,61.20512019,9.867580353,1
Hard-Boiled (Lat sau san taam) (1992),0,0,0,0,0,0,1,0,0,0,0,1,0,146.3002528,28.32477583,1
Man Bites Dog (C'est arrivé près de chez vous) (1992),0,0,0,0,0,0,1,0,1,0,0,1,0,112.2964612,21.79983153,1
Scream 3 (2000),0,0,1,1,0,0,0,0,1,0,0,0,0,108.05929,5.452934027,0
"Beach, The (2000)",0,0,0,0,0,0,0,0,0,0,0,1,1,106.8850394,24.84813869,0
"Whole Nine Yards, The (2000)",0,0,0,0,0,0,1,0,1,0,0,0,0,114.5125146,17.24320941,0
City Lights (1931),0,0,0,0,1,0,0,0,1,0,0,1,0,136.02562,22.01103594,1
"Flamingo Kid, The (1984)",0,0,0,0,0,0,0,0,1,0,0,1,0,121.804653,8.588591388,0
Wonder Boys (2000),0,0,0,0,0,0,0,0,1,0,0,1,0,100.1113285,5.328858763,0
Drowning Mona (2000),0,0,0,0,0,0,0,0,1,0,0,0,0,120.8106733,4.983663047,0
Beyond the Mat (1999),1,0,0,0,0,0,0,0,0,0,0,0,0,79.64106846,23.46820951,0
The Year My Voice Broke (1987),0,0,0,0,1,0,0,0,0,0,0,1,0,109.2392596,18.67436351,1
Birdy (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,118.5687606,4.279727329,0
"Raisin in the Sun, A (1961)",0,0,0,0,0,0,0,0,0,0,0,1,0,131.4634438,12.09248064,1
Mission to Mars (2000),0,1,0,0,0,0,0,0,0,0,0,0,0,151.1059331,34.77804682,0
Defending Your Life (1991),0,0,0,0,1,0,0,1,1,0,0,1,0,139.2138902,6.674620075,1
Hoosiers (a.k.a. Best Shot) (1986),0,0,0,0,1,0,0,0,0,0,0,1,0,105.6946507,3.443174538,1
Bull Durham (1988),0,0,0,0,1,0,0,0,1,0,0,1,0,123.8757717,12.90088738,0
Dog Day Afternoon (1975),0,0,0,0,0,0,1,0,0,0,0,1,0,88.10661827,17.01337471,1
American Graffiti (1973),0,0,0,0,0,0,0,0,1,0,0,1,0,140.8824788,36.90126286,1
"Searchers, The (1956)",0,0,0,0,0,0,0,0,0,0,0,1,0,119.5997814,18.55289831,1
JFK (1991),0,0,1,0,0,0,0,0,0,0,0,1,0,98.70805396,4.508010743,0
"Muppet Movie, The (1979)",0,0,0,0,0,0,0,0,1,0,1,0,1,101.095093,9.578880335,1
Erin Brockovich (2000),0,0,0,0,0,0,0,0,0,0,0,1,0,113.7327778,11.29918988,0
Thelma & Louise (1991),0,0,0,0,0,0,1,0,0,0,0,1,1,100.562533,9.427063585,1
...And Justice for All (1979),0,0,0,0,0,0,0,0,0,0,0,1,0,103.4727256,35.38730627,1
Animal House (1978),0,0,0,0,0,0,0,0,1,0,0,0,0,121.6876225,8.756371674,0
She's Gotta Have It (1986),0,0,0,0,1,0,0,0,1,0,0,0,0,98.88318104,19.64560411,1
Do the Right Thing (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,133.4315671,6.389693301,1
Jungle Fever (1991),0,0,0,0,1,0,0,0,0,0,0,1,0,114.1361074,20.9047835,1
"Champ, The (1979)",0,0,0,0,0,0,0,0,0,0,0,1,0,119.9064755,27.25127912,1
Double Indemnity (1944),0,0,0,0,0,0,1,0,0,0,0,1,0,146.7773882,38.3395916,1
Red Dawn (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,123.3282597,39.24677154,0
"Good Morning, Vietnam (1987)",0,0,0,0,0,0,0,0,1,0,0,1,0,117.6787116,9.046285461,0
Guess Who's Coming to Dinner (1967),0,0,0,0,0,0,0,0,0,0,0,1,0,89.03692857,5.714372103,1
Lord of the Flies (1963),0,0,0,0,0,0,0,0,0,0,0,1,1,73.34529099,6.763269299,1
Modern Times (1936),0,0,0,0,1,0,0,0,1,0,0,1,0,90.79260572,29.52289967,1
"Hustler, The (1961)",0,0,0,0,0,0,0,0,0,0,0,1,0,100.5059045,8.588523021,1
Inherit the Wind (1960),0,0,0,0,0,0,0,0,0,0,0,1,0,101.2360295,8.639331142,1
Close Encounters of the Third Kind (1977),0,1,0,0,0,0,0,0,0,0,0,1,1,92.68674263,4.87897061,1
"Bamba, La (1987)",0,0,0,0,0,0,0,0,0,0,0,1,0,101.93815,38.66258473,0
Ladyhawke (1985),0,0,0,0,1,0,0,1,0,0,0,0,1,90.3871461,43.029346,1
High Fidelity (2000),0,0,0,0,1,0,0,0,1,0,0,1,0,98.41218383,5.249224007,1
"Skulls, The (2000)",0,0,0,0,0,0,0,0,0,0,0,0,0,113.7175072,29.01292199,0
Misery (1990),0,0,0,1,0,0,0,0,0,0,0,1,0,136.9673148,15.97306281,1
Solaris (Solyaris) (1972),0,1,1,0,0,0,0,0,0,0,0,1,0,100.5167099,25.3237741,1
Network (1976),0,0,0,0,0,0,0,0,1,0,0,1,0,109.0170986,9.931355066,1
"Outlaw Josey Wales, The (1976)",0,0,0,0,0,0,0,0,0,0,0,1,1,99.94867339,22.81038226,1
Ready to Rumble (2000),0,0,0,0,0,0,0,0,1,0,0,0,0,105.9510193,5.627711652,0
Force 10 from Navarone (1978),0,0,0,0,0,0,0,0,0,0,0,1,0,95.56904718,14.96499332,1
Mystery Train (1989),0,0,0,0,0,0,0,0,1,0,0,1,0,103.2780575,6.1284602,1
Parenthood (1989),0,0,0,0,0,0,0,0,1,0,0,1,0,130.3021854,6.945898767,0
"Prince of Tides, The (1991)",0,0,0,0,1,0,0,0,0,0,0,1,0,116.8893595,33.30682532,0
"Postman Always Rings Twice, The (1981)",0,0,0,0,0,0,1,0,0,0,0,0,0,139.4432479,5.651067125,1
East is East (1999),0,0,0,0,0,0,0,0,1,0,0,0,0,121.4639865,4.608715622,0
Diner (1982),0,0,0,0,0,0,0,0,1,0,0,1,0,111.2593917,43.08882992,1
Shakes the Clown (1992),0,0,0,0,0,0,0,0,1,0,0,0,0,125.6185541,15.13058689,1
Cabaret (1972),0,0,0,0,0,0,0,0,0,0,0,1,0,101.1711382,10.53249825,1
What Ever Happened to Baby Jane? (1962),0,0,0,1,0,0,0,0,0,0,0,1,0,81.72759223,6.092952609,1
Prick Up Your Ears (1987),0,0,0,0,0,0,0,0,1,0,0,1,0,92.90406161,5.411502613,1
Auntie Mame (1958),0,0,0,0,0,0,0,0,1,0,0,1,0,81.33300263,4.820123735,1
Guys and Dolls (1955),0,0,0,0,1,0,0,0,1,0,0,0,0,118.8222284,6.975471974,1
The Hunger (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,126.0877171,7.297229493,1
Marathon Man (1976),0,0,0,0,0,0,1,0,0,0,0,1,0,137.7679684,35.44640767,1
Caddyshack (1980),0,0,0,0,0,0,0,0,1,0,0,0,0,86.38051322,28.08532731,1
"Flintstones in Viva Rock Vegas, The (2000)",0,0,0,0,0,0,0,0,1,0,1,0,0,81.63096406,23.49249962,0
Where the Heart Is (2000),0,0,0,0,0,0,0,0,1,0,0,1,0,95.75259966,6.182309636,0
"Big Kahuna, The (2000)",0,0,0,0,0,0,0,0,1,0,0,1,0,71.39853393,21.86205083,1
"King of Marvin Gardens, The (1972)",0,0,0,0,0,0,1,0,0,0,0,1,0,74.98155563,48.02636173,1
"Lords of Flatbush, The (1974)",0,0,0,0,0,0,0,0,1,0,0,1,0,123.8394744,3.545434576,1
Mr. Mom (1983),0,0,0,0,0,0,0,0,1,0,0,1,0,104.2173207,8.36035493,0
On the Town (1949),0,0,0,0,1,0,0,0,1,0,0,0,0,85.79453086,38.02741897,1
Pee-wee's Big Adventure (1985),0,0,0,0,0,0,0,0,1,0,0,0,1,107.5215349,23.08739977,1
Regret to Inform (1998),1,0,0,0,0,0,0,0,0,0,0,0,0,106.736828,49.528401,1
Honeymoon in Vegas (1992),0,0,0,0,1,0,0,0,1,0,0,0,0,123.6654894,31.29290932,1
Small Time Crooks (2000),0,0,0,0,0,0,1,0,1,0,0,0,0,119.0541143,10.31248278,1
On Her Majesty's Secret Service (1969),0,0,0,0,1,0,0,0,0,0,0,0,1,113.8335683,6.278138583,1
"Spy Who Loved Me, The (1977)",0,0,0,0,0,0,0,0,0,0,0,0,1,56.00668141,5.368303548,1
"Man with the Golden Gun, The (1974)",0,0,0,0,0,0,0,0,0,0,0,0,1,101.7745989,22.92649574,1
Blow-Out (La grande bouffe) (1973),0,0,0,0,0,0,0,0,0,0,0,1,0,110.0307132,7.832110353,1
Romeo and Juliet (1968),0,0,0,0,1,0,0,0,0,0,0,1,0,89.81761949,44.8613521,1
Blazing Saddles (1974),0,0,0,0,0,0,0,0,1,0,0,0,0,107.9960213,11.81059772,1
White Christmas (1954),0,0,0,0,1,0,0,0,1,0,0,0,0,94.87720827,24.53822749,1
Eraserhead (1977),0,0,0,1,0,0,0,0,0,0,0,1,0,79.01015174,35.02046482,1
"Man with the Golden Arm, The (1955)",0,0,0,0,0,0,0,0,0,0,0,1,0,147.0320941,38.19352624,1
"Decline of Western Civilization, The (1981)",1,0,0,0,0,0,0,0,0,0,0,0,0,116.1903609,17.36523631,1
"Decline of Western Civilization Part II: The Metal Years, The (1988)",1,0,0,0,0,0,0,0,0,0,0,0,0,125.3972676,15.84403836,1
For a Few Dollars More (Per qualche dollaro in più) (1965),0,0,0,0,0,0,0,0,0,0,0,1,0,106.8294257,20.19323192,1
Blood Simple (1984),0,0,0,0,0,0,1,0,0,0,0,1,0,78.48857144,9.684573428,1
Prizzi's Honor (1985),0,0,0,0,1,0,0,0,1,0,0,1,0,95.14020923,3.636477526,1
"Running Man, The (1987)",0,1,0,0,0,0,0,0,0,0,0,0,0,124.0547192,11.42626768,0
"Brother from Another Planet, The (1984)",0,1,0,0,0,0,0,0,0,0,0,1,0,114.3203045,5.806249891,1
Mad Max (1979),0,1,0,0,0,0,0,0,0,0,0,0,1,75.62071986,9.419749709,1
"Road Warrior, The (Mad Max 2) (1981)",0,1,0,0,0,0,0,0,0,0,0,0,1,103.331081,10.04373992,1
Mad Max Beyond Thunderdome (1985),0,1,0,0,0,0,0,0,0,0,0,0,1,121.3238343,6.250090872,0
Angel Heart (1987),0,0,1,1,0,0,0,0,0,0,0,0,0,144.8268984,40.28272495,0
Firestarter (1984),0,0,0,1,0,0,0,0,0,0,0,0,0,80.8144254,14.58639521,0
Coming Home (1978),0,0,0,0,0,0,0,0,0,0,0,1,0,103.6196596,18.11976805,1
Shaft (1971),0,0,0,0,0,0,1,0,0,0,0,1,0,108.0378593,5.784904904,1
"Conversation, The (1974)",0,0,1,0,0,0,0,0,0,0,0,1,0,125.506826,4.371403635,1
"Paper Chase, The (1973)",0,0,0,0,0,0,0,0,0,0,0,1,0,99.21015828,12.59708838,1
Prince of the City (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,115.165861,3.978543513,1
Serpico (1973),0,0,0,0,0,0,1,0,0,0,0,1,0,113.6731583,13.33113809,1
Big Trouble in Little China (1986),0,0,0,0,0,0,0,1,1,0,0,0,1,109.9765113,10.30276981,0
Badlands (1973),0,0,0,0,0,0,1,0,0,0,0,1,0,140.3696069,15.21636221,1
Battleship Potemkin (1925),0,0,0,0,0,0,0,0,0,0,0,1,0,124.0958138,41.32460872,1
M*A*S*H (a.k.a. MASH) (1970),0,0,0,0,0,0,0,0,1,0,0,1,0,87.23197904,25.22440499,1
